Keyword                                  | Lang  | Group      | Gloss                                    | Bucket                    | Rule                 | Reason
def jam fight                            | en    | SECONDARY  | Def Jam Fight                            | Dropped                   | ai_ip_dropped        | Game IP or Character term (def jam) strictly dropped
deuses antigos                           | pt    | PRIMARY    | ancient gods                             | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
drastic                                  | unknown | UNKNOWN    | drastic                                  | Dropped                   | ai_competitor        | Competitor brand or publisher (drastic) strictly dropped
dream league soccer 2025                 | en    | SECONDARY  | dream league soccer 2025                 | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
ds emulator                              | en    | SECONDARY  | DS emulator                              | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulador 3ds                             | en    | SECONDARY  | emulador 3ds                             | Consider Keywords         | ai_broad_expansion   | Platform context term (3ds) allowed as consider
emulador avancado                        | en    | SECONDARY  | emulador avancado                        | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
emulador de consoles                     | pt    | PRIMARY    | consoles emulator                        | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
emulador de ds                           | pt    | PRIMARY    | DS emulator                              | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulador de game boy grátis              | pt    | PRIMARY    | free game boy emulator                   | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de gb4                          | pt    | PRIMARY    | GB4 emulator                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de gba retrô                    | pt    | PRIMARY    | retro GBA emulator                       | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de gbc                          | pt    | PRIMARY    | GBC emulator                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de jogo classico                | pt    | PRIMARY    | emulator de game classico                | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
emulador de jogo ds                      | pt    | PRIMARY    | DS game emulator                         | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulador de jogo ps1                     | pt    | PRIMARY    | PS1 game emulator                        | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
emulador de jogo psp                     | pt    | PRIMARY    | PSP game emulator                        | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de jogos de ds                  | pt    | PRIMARY    | DS games emulator                        | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulador de jogos de gba                 | pt    | PRIMARY    | GBA games emulator                       | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de juegos                       | pt    | PRIMARY    | games emulator                           | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
emulador de n64                          | pt    | PRIMARY    | N64 emulator                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de nes                          | pt    | PRIMARY    | NES emulator                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador de ps1                          | pt    | PRIMARY    | PS1 emulator                             | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
emulador de videogame                    | pt    | PRIMARY    | video game emulator                      | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
emulador ds                              | en    | SECONDARY  | emulador ds                              | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulador game boy                        | en    | SECONDARY  | emulador game boy                        | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador gameboy gratis                  | pt    | PRIMARY    | free gameboy emulator                    | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador gameboy grátis                  | pt    | PRIMARY    | free gameboy emulator                    | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador gba                             | en    | SECONDARY  | emulador gba                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador gba retrô                       | en    | SECONDARY  | emulador gba retrô                       | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador gbc                             | en    | SECONDARY  | emulador gbc                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador n64                             | en    | SECONDARY  | emulador n64                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador nds                             | en    | SECONDARY  | emulador nds                             | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulador nintendo                        | en    | SECONDARY  | emulador nintendo                        | Consider Keywords         | ai_broad_expansion   | Platform context term (nintendo) allowed as consider
emulador nintendo ds                     | en    | SECONDARY  | emulador nintendo ds                     | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulador ps1                             | en    | SECONDARY  | emulador ps1                             | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
emulador ps2                             | en    | SECONDARY  | emulador ps2                             | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
emulador retro64                         | en    | SECONDARY  | emulador retro64                         | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulador super nes                       | en    | SECONDARY  | emulador super nes                       | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulator                                 | en    | SECONDARY  | emulator                                 | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
emulator ds                              | en    | SECONDARY  | emulator ds                              | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
emulator gameboy                         | en    | SECONDARY  | emulator gameboy                         | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
emulator games                           | en    | SECONDARY  | emulator games                           | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
emulator nintendo                        | en    | SECONDARY  | emulator nintendo                        | Consider Keywords         | ai_broad_expansion   | Platform context term (nintendo) allowed as consider
emulators                                | en    | SECONDARY  | emulators                                | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
epic games store                         | en    | SECONDARY  | epic games store                         | Dropped                   | ai_competitor        | Competitor brand or publisher (epic games) strictly dropped
fifa 23                                  | en    | SECONDARY  | fifa 23                                  | Dropped                   | ai_ip_dropped        | Game IP or Character term (fifa) strictly dropped
fliperama de jogos                       | pt    | PRIMARY    | arcade games                             | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
force simulator                          | en    | SECONDARY  | force simulator                          | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
free games arcade                        | en    | SECONDARY  | free games arcade                        | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
game boy emulatdor                       | en    | SECONDARY  | game boy emulatdor                       | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
game boy jogos                           | pt    | PRIMARY    | game boy games                           | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
game console emulator                    | en    | SECONDARY  | game console emulator                    | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
game emulator                            | en    | SECONDARY  | game emulator                            | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
game emulator free                       | en    | SECONDARY  | game emulator free                       | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
game emulators for android               | en    | SECONDARY  | game emulators for android               | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
gameboy emulador                         | en    | SECONDARY  | gameboy emulador                         | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gameboy games                            | en    | SECONDARY  | gameboy games                            | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gameboy jogos retro                      | pt    | PRIMARY    | gameboy retro games                      | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gameboy retro                            | en    | SECONDARY  | gameboy retro                            | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gameboy retro games                      | en    | SECONDARY  | gameboy retro games                      | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gamepad for tv                           | en    | SECONDARY  | gamepad for tv                           | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gamepad games                            | en    | SECONDARY  | gamepad games                            | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gamer boy                                | en    | SECONDARY  | gamer boy                                | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
games emulator for android               | en    | SECONDARY  | games emulator for android               | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
games emulator ps2                       | en    | SECONDARY  | games emulator ps2                       | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
games emulator ps3                       | en    | SECONDARY  | games emulator ps3                       | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
games emulator ps5                       | en    | SECONDARY  | games emulator ps5                       | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
games emulator psp                       | en    | SECONDARY  | games emulator psp                       | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
games ps5                                | en    | SECONDARY  | games ps5                                | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
gaming                                   | en    | SECONDARY  | gaming                                   | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
gaming emulator                          | en    | SECONDARY  | gaming emulator                          | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
gba emulador pokemon                     | en    | SECONDARY  | gba emulador pokemon                     | Dropped                   | ai_ip_dropped        | Game IP or Character term (pokemon) strictly dropped
gba emulador ps2                         | en    | SECONDARY  | gba emulador ps2                         | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gba emulador retro                       | en    | SECONDARY  | gba emulador retro                       | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gba emulador retro console               | en    | SECONDARY  | gba emulador retro console               | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gba game emulator free                   | en    | SECONDARY  | gba game emulator free                   | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gba gameboy                              | en    | SECONDARY  | gba gameboy                              | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gba games                                | en    | SECONDARY  | gba games                                | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gba retro gaming                         | en    | SECONDARY  | gba retro gaming                         | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gbc emulador                             | en    | SECONDARY  | gbc emulador                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
gbc emulatore                            | en    | SECONDARY  | gbc emulatore                            | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
grand theft auto 5                       | en    | SECONDARY  | grand theft auto 5                       | Dropped                   | ai_ip_dropped        | Game IP or Character term (grand theft auto) strictly dropped
guerra goku                              | unknown | UNKNOWN    | Goku war                                 | Dropped                   | ai_ip_dropped        | Game IP or Character term (goku) strictly dropped
halfbrick studios                        | en    | SECONDARY  | halfbrick studios                        | Dropped                   | ai_competitor        | Competitor brand or publisher (halfbrick) strictly dropped
homem aranha ultimate power              | pt    | PRIMARY    | Spider-Man Ultimate Power                | Dropped                   | ai_ip_dropped        | Game IP or Character term (homem aranha) strictly dropped
jewelry identifier                       | en    | SECONDARY  | jewelry identifier                       | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogabilidade clássica                    | pt    | PRIMARY    | classic gameplay                         | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
jogar arcade                             | en    | SECONDARY  | jogar arcade                             | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogar pes                                | en    | SECONDARY  | jogar pes                                | Dropped                   | ai_ip_dropped        | Game IP or Character term (pes) strictly dropped
jogar ps4                                | unknown | UNKNOWN    | play PS4                                 | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
jogo de arcada                           | pt    | PRIMARY    | arcade game                              | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogo de pizza                            | pt    | PRIMARY    | pizza game                               | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogo de wwe                              | pt    | PRIMARY    | WWE game                                 | Dropped                   | ai_ip_dropped        | Game IP or Character term (wwe) strictly dropped
jogo do arcade                           | pt    | PRIMARY    | arcade game                              | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogo do fliperama                        | pt    | PRIMARY    | arcade game                              | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogo gbc emulador                        | pt    | PRIMARY    | GBC emulator game                        | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
jogo ps                                  | pt    | PRIMARY    | PS game                                  | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
jogo ps1                                 | pt    | PRIMARY    | PS1 game                                 | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
jogos antigos gratis                     | pt    | PRIMARY    | free old games                           | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
jogos de acrade                          | pt    | PRIMARY    | arcade games                             | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogos de gba                             | pt    | PRIMARY    | GBA games                                | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
jogos de nintendo ds                     | pt    | PRIMARY    | nintendo ds games                        | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
jogos de trampolim                       | pt    | PRIMARY    | trampoline games                         | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogos exclusivos                         | pt    | PRIMARY    | exclusive games                          | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogos game boy                           | pt    | PRIMARY    | game boy games                           | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
jogos gba                                | pt    | PRIMARY    | GBA games                                | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
jogos gta                                | pt    | PRIMARY    | GTA games                                | Dropped                   | ai_ip_dropped        | Game IP or Character term (gta) strictly dropped
jogos no fliperama                       | pt    | PRIMARY    | arcade games                             | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
jogos retro estrategia                   | pt    | PRIMARY    | retro strategy games                     | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
le mans race game                        | fr    | FOREIGN    | le mans race game                        | Dropped                   | ai_ip_dropped        | Game IP or Character term (le mans) strictly dropped
leading gba emulators                    | en    | SECONDARY  | leading GBA emulators                    | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
mario strikers football                  | en    | SECONDARY  | Mario Strikers Football                  | Dropped                   | ai_ip_dropped        | Game IP or Character term (mario) strictly dropped
mundialmente famoso sonic                | en    | SECONDARY  | mundialmente famoso sonic                | Dropped                   | ai_ip_dropped        | Game IP or Character term (sonic) strictly dropped
n64 emulator                             | en    | SECONDARY  | n64 emulator                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
n64 emulator nintendo 64                 | en    | SECONDARY  | n64 emulator nintendo 64                 | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
nds emulator 64                          | en    | SECONDARY  | nds emulator 64                          | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
nds emulator for android 6               | en    | SECONDARY  | nds emulator for android 6               | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
nds emulator for android free            | en    | SECONDARY  | nds emulator for android free            | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
nds emulator max                         | en    | SECONDARY  | nds emulator max                         | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
nes emulador                             | en    | SECONDARY  | nes emulador                             | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
nes retro                                | en    | SECONDARY  | nes retro                                | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
nintendo ds emulator                     | en    | SECONDARY  | nintendo ds emulator                     | Core Intent Final         | ai_core_intent       | Core intent: NDS/DS emulator
nintendo emulator                        | en    | SECONDARY  | nintendo emulator                        | Consider Keywords         | ai_broad_expansion   | Platform context term (nintendo) allowed as consider
old games free                           | en    | SECONDARY  | old games free                           | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
originals                                | en    | SECONDARY  | originals                                | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
pac man                                  | fil   | FOREIGN    | pac man                                  | Dropped                   | ai_ip_dropped        | Game IP or Character term (pac man) strictly dropped
photoshop touch                          | en    | SECONDARY  | photoshop touch                          | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
pizza game                               | en    | SECONDARY  | pizza game                               | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
play ps5                                 | en    | SECONDARY  | play ps5                                 | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
playstation 3                            | en    | SECONDARY  | playstation 3                            | Consider Keywords         | ai_broad_expansion   | Platform context term (playstation) allowed as consider
playstation store                        | en    | SECONDARY  | playstation store                        | Consider Keywords         | ai_broad_expansion   | Platform context term (playstation) allowed as consider
pokemon emulador                         | en    | SECONDARY  | pokemon emulador                         | Dropped                   | ai_ip_dropped        | Game IP or Character term (pokemon) strictly dropped
pokemon emulator                         | en    | SECONDARY  | pokemon emulator                         | Dropped                   | ai_ip_dropped        | Game IP or Character term (pokemon) strictly dropped
ps app ps3                               | lv    | FOREIGN    | ps app ps3                               | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps games                                 | en    | SECONDARY  | ps games                                 | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps jogo                                  | pt    | PRIMARY    | PS game                                  | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps ps ps                                 | en    | SECONDARY  | PS PS PS                                 | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps remote control app                    | en    | SECONDARY  | ps remote control app                    | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
ps remote play for tv                    | en    | SECONDARY  | ps remote play for tv                    | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps remote play ps5                       | en    | SECONDARY  | ps remote play ps5                       | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps second screen ps5                     | en    | SECONDARY  | ps second screen ps5                     | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps3                                      | lv    | FOREIGN    | ps3                                      | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps4 console                              | en    | SECONDARY  | ps4 console                              | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps4 remote app                           | fr    | FOREIGN    | ps4 remote app                           | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
ps4 remote play app for android          | en    | SECONDARY  | ps4 remote play app for android          | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
remote control ps4 ps5                   | unknown | UNKNOWN    | remote control ps4 ps5                   | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
remote play ps5                          | en    | SECONDARY  | remote play ps5                          | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
remote ps4 ps5                           | unknown | UNKNOWN    | remote ps4 ps5                           | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
remote ps5                               | en    | SECONDARY  | remote PS5                               | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
remoto ps5                               | unknown | UNKNOWN    | remote PS5                               | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
retro arcade games                       | en    | SECONDARY  | retro arcade games                       | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro boy                                | en    | SECONDARY  | retro boy                                | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro game 64                            | en    | SECONDARY  | retro game 64                            | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro game 90s                           | en    | SECONDARY  | retro game 90s                           | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro game arcade                        | en    | SECONDARY  | retro game arcade                        | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro game center                        | en    | SECONDARY  | retro game center                        | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro game emulator                      | en    | SECONDARY  | retro game emulator                      | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro games arcade                       | en    | SECONDARY  | retro games arcade                       | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
retro games ps2                          | en    | SECONDARY  | retro games ps2                          | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
retro rewind store                       | en    | SECONDARY  | retro rewind store                       | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
rockstargames                            | sv    | FOREIGN    | rockstargames                            | Dropped                   | ai_competitor        | Competitor brand or publisher (rockstargames) strictly dropped
rumble with sonic                        | en    | SECONDARY  | rumble with sonic                        | Dropped                   | ai_ip_dropped        | Game IP or Character term (sonic) strictly dropped
salvar jogos clássicos                   | pt    | PRIMARY    | save classic games                       | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
sem conexao sonic                        | pt    | PRIMARY    | offline sonic                            | Dropped                   | ai_ip_dropped        | Game IP or Character term (sonic) strictly dropped
skate boy                                | en    | SECONDARY  | skate boy                                | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
sling kong                               | en    | SECONDARY  | Sling Kong                               | Dropped                   | ai_competitor        | Competitor brand or publisher (sling kong) strictly dropped
snes emulator                            | en    | SECONDARY  | snes emulator                            | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
sonic 2                                  | en    | SECONDARY  | sonic 2                                  | Dropped                   | ai_ip_dropped        | Game IP or Character term (sonic) strictly dropped
sonic forces                             | en    | SECONDARY  | sonic forces                             | Dropped                   | ai_ip_dropped        | Game IP or Character term (sonic) strictly dropped
spirit pro                               | en    | SECONDARY  | spirit pro                               | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
sports game                              | en    | SECONDARY  | sports game                              | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
stumble                                  | en    | SECONDARY  | Stumble                                  | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
super emulator                           | en    | SECONDARY  | super emulator                           | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
super nintendo                           | en    | SECONDARY  | super nintendo                           | Consider Keywords         | ai_broad_expansion   | Platform context term (nintendo) allowed as consider
super smash bros wii u                   | en    | SECONDARY  | super smash bros wii u                   | Dropped                   | ai_ip_dropped        | Game IP or Character term (smash bros) strictly dropped
super sonic games                        | en    | SECONDARY  | super sonic games                        | Dropped                   | ai_ip_dropped        | Game IP or Character term (sonic) strictly dropped
supersolid                               | en    | SECONDARY  | supersolid                               | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
truques de playstation                   | fr    | FOREIGN    | PlayStation cheats                       | Consider Keywords         | ai_broad_expansion   | Platform context term (playstation) allowed as consider
voz de menino                            | en    | SECONDARY  | voz de menino                            | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
wireless controller ps4 settings         | en    | SECONDARY  | wireless controller ps4 settings         | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
xbox game pass                           | en    | SECONDARY  | xbox game pass                           | Consider Keywords         | ai_broad_expansion   | Platform context term (xbox) allowed as consider
